,GHM,acte_classant,duree_mediane
292,08C37,NDPA002,1.0
293,08C24,NFKA006,2.5
294,09C06,QEEB317,1.0
295,08C32,NCPA014,1.0
296,03C25,HDFA011,21.0
297,03C20,CBFA010,1.0
298,11C02,JDFA001,24.0
299,05C17,EGFA004,1.5
300,12C04,JGHJ001,2.0
301,08C35,MBCA011,1.0
302,11C13,JBQE001,2.0
303,09C03,QZFA011,1.0
304,09C06,QEFA017,1.0
305,03C13,HDFA020,1.0
306,13C07,JJPC003,1.0
307,06C22,LLMC004,2.0
308,11K05,JDHE003,1.0
309,01C06,EBFA008,3.0
310,03C29,HAFA031,1.0
311,05K06,EDAF003,4.0
312,11C13,JCQE003,1.0
313,09C05,QEGA001,3.5
314,11C11,JCGG001,2.0
315,06C19,EGFA001,2.0
316,13C08,JMMA002,1.0
317,03C26,HCFA011,1.0
318,11C13,JDFE003,2.0
319,07C14,HMFA007,5.5
320,03C26,HDFA002,5.0
321,08C53,NCCA018,4.0
322,13C04,JLFA004,3.0
323,06C14,HKFA006,1.5
324,08C61,NBCA001,5.0
325,12C05,JHFA006,1.0
326,06C14,HKFA005,1.0
327,05K25,EDAF002,2.0
328,10C13,HGCC003,7.5
329,06C03,HHFA030,16.0
330,08C35,MBCA005,1.5
331,08C42,NJMA002,6.0
332,03C20,CBMA005,1.0
333,03C09,GAMA001,1.0
334,12C06,JHEA001,1.0
335,06C04,HGFA005,6.0
336,08C06,NZFA002,4.0
337,06K02,HGAE001,1.0
338,09C03,QZFA030,1.0
339,03C24,HCFA001,1.0
340,08C62,MEFC002,2.5
341,09C08,QBPA001,1.0
342,06C12,LMMA012,1.0
343,05C10,EDCA005,5.0
344,03K02,HBGD017,1.0
345,06K02,HEAE003,1.0
346,06C19,EGFA003,1.0
347,03K02,HBGD420,1.0
348,02C08,BAMA016,1.0
349,12C07,JHDA001,1.0
350,08C45,NFFC004,1.0
351,01C14,AHPA027,2.0
352,07C09,HLFA004,14.0
353,13C07,HPPC002,1.5
354,10C13,HFCC002,8.0
355,13C08,JKFA008,1.0
356,03C20,CBMA002,1.0
357,09C06,QZFA031,1.0
358,13C13,HPFC002,1.5
359,05K25,ENAF002,2.0
360,08C33,NDFA008,1.0
361,12C04,JGFE023,3.0
362,06C21,ZCJA002,6.5
363,06C03,HHQE002,2.0
364,03K02,HBMA006,1.0
365,02C11,BEGA004,1.0
366,06K02,HHFE001,1.0
367,03C17,LBFA002,1.0
368,07C09,HLFA012,15.0
369,09C03,CAFA005,1.0
